cell_barcode;orig.ident;nCount_RNA;nFeature_RNA;subproject;library_id;index;donor_id.x;fastq_path_r1;fastq_path_r2;symbolic_link_r1;symbolic_link_r2;zUMI_barcode;plate;original_barcode;well;sample_id;donor_id.y;tissue;time_point;sample_description;sampling_time;sample_description_FN;Exclude_FN
OJFTBCGG;SeuratProject;448230;3152;CLL_52;AF9549;N714-S511-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N714-S511-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N714-S511-NX-xt_2.fastq.gz;CLL_14-2116_S239_L006_R1_001.fastq.gz;CLL_14-2116_S239_L006_R2_001.fastq.gz;OJFTBCGG;P2460;P2460_N714-S511;CLL_14_2116_H11;14/2116;63;LN;T3;NA;NA;RS;NA
OJGPJIWJ;SeuratProject;476218;1103;CLL_52;AG0637;N726-S506-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N726-S506-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N726-S506-NX-xt_2.fastq.gz;CLL_10-7434_S328_L001_R1_001.fastq.gz;CLL_10-7434_S328_L001_R2_001.fastq.gz;OJGPJIWJ;P2469;P2469_N726-S506;CLL_10_7434_D09;10/7434;63;PB;T2;NA;NA;posttreatment;NA
OJTESQRX;SeuratProject;488427;916;CLL_52;AG0491;N703-S503-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N703-S503-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N703-S503-NX-xt_2.fastq.gz;CLL_05-599_S357_L001_R1_001.fastq.gz;CLL_05-599_S357_L001_R2_001.fastq.gz;OJTESQRX;P2468;P2468_N703-S503;CLL_05_599_B03;05/599;63;PB;T1;NA;NA;pretreatment;NA
OKESYEOE;SeuratProject;245997;863;CLL_52;AF9770;N719-S518-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N719-S518-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N719-S518-NX-xt_2.fastq.gz;CLL_05-599_S124_L006_R1_001.fastq.gz;CLL_05-599_S124_L006_R2_001.fastq.gz;OKESYEOE;P2463;P2463_N719-S518;CLL_05_599_E03;05/599;63;PB;T1;NA;NA;pretreatment;NA
OKJCZKFM;SeuratProject;487;203;CLL_52;AG0848;N728-S521-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N728-S521-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N728-S521-NX-xt_2.fastq.gz;CLL_14-2116_S282_L001_R1_001.fastq.gz;CLL_14-2116_S282_L001_R2_001.fastq.gz;OKJCZKFM;P2471;P2471_N728-S521;CLL_14_2116_G11;14/2116;63;LN;T3;NA;NA;RS;NA
OLBEVLLI;SeuratProject;212674;382;CLL_52;AG0197;N724-S522-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N724-S522-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N724-S522-NX-xt_2.fastq.gz;CLL_10-7434_S357_L007_R1_001.fastq.gz;CLL_10-7434_S357_L007_R2_001.fastq.gz;OLBEVLLI;P2467;P2467_N724-S522;CLL_10_7434_H08;10/7434;63;PB;T2;NA;NA;posttreatment;NA
OMCCRRHJ;SeuratProject;432410;1193;CLL_52;AG0049;N702-S517-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N702-S517-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N702-S517-NX-xt_2.fastq.gz;CLL_05-599_S168_L007_R1_001.fastq.gz;CLL_05-599_S168_L007_R2_001.fastq.gz;OMCCRRHJ;P2466;P2466_N702-S517;CLL_05_599_D02;05/599;63;PB;T1;NA;NA;pretreatment;NA
OMNQOSQO;SeuratProject;380039;773;CLL_52;AG0717;N707-S517-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N707-S517-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N707-S517-NX-xt_2.fastq.gz;CLL_10-7434_S99_L001_R1_001.fastq.gz;CLL_10-7434_S99_L001_R2_001.fastq.gz;OMNQOSQO;P2470;P2470_N707-S517;CLL_10_7434_D07;10/7434;63;PB;T2;NA;NA;posttreatment;NA
ONIUYGSO;SeuratProject;489045;2002;CLL_52;AG0549;N712-S506-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N712-S506-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N712-S506-NX-xt_2.fastq.gz;CLL_14-2116_S245_L001_R1_001.fastq.gz;CLL_14-2116_S245_L001_R2_001.fastq.gz;ONIUYGSO;P2468;P2468_N712-S506;CLL_14_2116_D10;14/2116;63;LN;T3;NA;NA;RS;NA
OOVINDFS;SeuratProject;281223;1061;CLL_52;AF9775;N720-S515-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N720-S515-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N720-S515-NX-xt_2.fastq.gz;CLL_05-76_S233_L006_R1_001.fastq.gz;CLL_05-76_S233_L006_R2_001.fastq.gz;OOVINDFS;P2463;P2463_N720-S515;CLL_05_76_B04;05/76;63;LN;T1;NA;NA;pretreatmnt_2ndTissue;NA
OOXIOCMU;SeuratProject;435772;1111;CLL_52;AG0154;N719-S518-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N719-S518-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N719-S518-NX-xt_2.fastq.gz;CLL_05-599_S56_L007_R1_001.fastq.gz;CLL_05-599_S56_L007_R2_001.fastq.gz;OOXIOCMU;P2467;P2467_N719-S518;CLL_05_599_E03;05/599;63;PB;T1;NA;NA;pretreatment;NA
OQMZDATX;SeuratProject;301530;1266;CLL_52;AF9988;N722-S510-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N722-S510-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N722-S510-NX-xt_2.fastq.gz;CLL_05-76_S374_L007_R1_001.fastq.gz;CLL_05-76_S374_L007_R2_001.fastq.gz;OQMZDATX;P2465;P2465_N722-S510;CLL_05_76_G06;05/76;63;LN;T1;NA;NA;pretreatmnt_2ndTissue;NA
OQRPBVXV;SeuratProject;516610;965;CLL_52;AF9755;N716-S520-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N716-S520-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N716-S520-NX-xt_2.fastq.gz;CLL_05-599_S227_L006_R1_001.fastq.gz;CLL_05-599_S227_L006_R2_001.fastq.gz;OQRPBVXV;P2463;P2463_N716-S520;CLL_05_599_F01;05/599;63;PB;T1;NA;NA;pretreatment;NA
ORAPUVLY;SeuratProject;477175;1010;CLL_52;AG0725;N710-S517-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N710-S517-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N710-S517-NX-xt_2.fastq.gz;CLL_10-7434_S33_L001_R1_001.fastq.gz;CLL_10-7434_S33_L001_R2_001.fastq.gz;ORAPUVLY;P2470;P2470_N710-S517;CLL_10_7434_D08;10/7434;63;PB;T2;NA;NA;posttreatment;NA
ORJFWTTC;SeuratProject;386809;1237;CLL_52;AG0597;N720-S506-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N720-S506-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N720-S506-NX-xt_2.fastq.gz;CLL_05-76_S132_L001_R1_001.fastq.gz;CLL_05-76_S132_L001_R2_001.fastq.gz;ORJFWTTC;P2469;P2469_N720-S506;CLL_05_76_D04;05/76;63;LN;T1;NA;NA;pretreatmnt_2ndTissue;NA
ORQGRIEM;SeuratProject;340952;758;CLL_52;AG0150;N719-S513-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N719-S513-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N719-S513-NX-xt_2.fastq.gz;CLL_05-599_S13_L007_R1_001.fastq.gz;CLL_05-599_S13_L007_R2_001.fastq.gz;ORQGRIEM;P2467;P2467_N719-S513;CLL_05_599_A03;05/599;63;PB;T1;NA;NA;pretreatment;NA
